"PROVINCIA,C,50","CANTON,C,50","PARROQUIA,C,100","DISTRITO,C,250","CIRCUITO,C,250","NOMBRE,C,100","NIVEL,C,50","TIPOLOGIA,C,50","INSTITUCIO,C,50","X,N,19,11","Y,N,19,11"
LOS RIOS,MOCACHE,MOCACHE,QUEVEDO-MOCACHE,MOCACHE,AGUAS FRIAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47399555610,-1.29794146435
TUNGURAHUA,AMBATO,QUISAPINCHA (QUIZAPINCHA),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,QUISAPINCHA (QUIZAPINCHA),UMG 1 TUNGURAHUA,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-78.67943667900,-1.23535638582
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,BELISARIO QUEVEDO,HOSPITAL METROPOLITANO CONCLINICA C.A.,SEGUNDO NIVEL,HOSPITAL PRIVADO|HP,RED COMPLEMENTARIA,-78.50379675080,-0.18425330120
TUNGURAHUA,AMBATO,AMBATO,AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,AMBATO,UMG 2 TUNGURAHUA,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-78.62134914070,-1.23197815678
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,ALLURIQUI-LUZ DE AMERICA-ESFUERZO-TOACHI-PERIFERIA-RIO VERDE-SANTO DOMINGO-ZARACAY-RIO TOACHI-CHIGUILPE,SANTO DOMINGO DE LOS COLORADOS,UMG 1 SANTO DOMINGO,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-79.16956903890,-0.25634148208
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,ALLURIQUI-LUZ DE AMERICA-ESFUERZO-TOACHI-PERIFERIA-RIO VERDE-SANTO DOMINGO-ZARACAY-RIO TOACHI-CHIGUILPE,SANTO DOMINGO DE LOS COLORADOS,UMG 2 SANTO DOMINGO,PRIMER NIVEL,UNIDAD MOVIL GENERAL|UMG,MSP,-79.16793445760,-0.25505718952
MANABI,MANTA,MANTA,MANTA-MONTECRISTI-JARAMIJO,MANTA,HOSPITAL BASICO ALA 23,SEGUNDO NIVEL,HOSPITAL BASICO|HB,ISSFA,-80.75572292820,-0.98687097016
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,CONSULTORIO GENERAL GFE-26,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-79.47172707580,-1.02066793605
GUAYAS,GUAYAQUIL,GUAYAQUIL,PROGRESO-EL MORRO-POSORJA-GUAYAQUIL AREA DE EXPANSION,PROGRESO-GUAYAQUIL - AREA DE EXPANSIËN,CONSULTORIO GENERAL FM-HUANCAVILCA,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-80.09571416330,-2.27184581636
GUAYAS,GUAYAQUIL,GUAYAQUIL,PROGRESO-EL MORRO-POSORJA-GUAYAQUIL AREA DE EXPANSION,PROGRESO-GUAYAQUIL - AREA DE EXPANSIËN,"CENTRO DE SALUD ""A"" BIMEDU",PRIMER NIVEL,CENTRO DE SALUD|CS,ISSFA,-80.09571416330,-2.27184581636
GUAYAS,GUAYAQUIL,GUAYAQUIL,PROGRESO-EL MORRO-POSORJA-GUAYAQUIL AREA DE EXPANSION,PROGRESO-GUAYAQUIL - AREA DE EXPANSIËN,CONSULTORIO GENERAL EIA,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-80.09571416330,-2.27184581636
AZUAY,CUENCA,CUENCA .,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,CUENCA_SAN BLAS,CONSULTORIO GENERAL 27-BA,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-78.99823253600,-2.89790603534
AZUAY,CUENCA,CUENCA .,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,CUENCA_SAN BLAS,CONSULTORIO GENERAL GCM III-DE,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-78.99823253600,-2.89790603534
AZUAY,CUENCA,CUENCA .,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,CUENCA_SAN BLAS,HOSPITAL GENERAL III.DE,TERCER NIVEL,HOSPITAL GENERAL|HG,ISSFA,-78.99823253600,-2.89790603534
LOJA,CATAMAYO,CATAMAYO (LA TOMA),CATAMAYO-CHAGUARPAMBA-OLMEDO,CATAMAYO (LA TOMA),CONSULTORIO GENERAL CM-7,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-79.35934102700,-3.97426904294
LOJA,CALVAS,CARIAMANGA,CALVAS-GONZANAMA-QUILANGA,CARIAMANGA,CONSULTORIO GENERAL BI-20,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-79.57959665660,-4.31681583972
LOJA,MACAR┴,MACAR┴,MACARA-SOZORANGA,MACARA,CONSULTORIO GENERAL BI-21,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-79.97257834390,-4.33164244339
LOJA,LOJA,LOJA,LOJA,LOJA,HOSPITAL BASICO 7-BI LOJA,SEGUNDO NIVEL,HOSPITAL BASICO|HB,ISSFA,-79.20146055840,-3.99935740910
MORONA SANTIAGO,SANTIAGO,SANTIAGO DE M╔NDEZ,LIMON INDANZA-SANTIAGO-TIWINTZA,SANTIAGO DE MENDEZ-COPAL-CHUPIANZA-SAN LUIS DE EL ACHO (CAB EN EL ACHO),CONSULTORIO GENERAL BS-61,PRIMER NIVEL,PUESTO DE SALUD|PS,ISSFA,-78.39063358300,-2.60361524620
PICHINCHA,QUITO,CHAVEZPAMBA,PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN,ATAHUALPA (HABASPAMBA)-CHAVEZPAMBA-PERUCHO,DISPENSARIO CHAVEZPAMBA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.40445516970,0.12245544614
GUAYAS,SANTA LUC═A,SANTA LUC═A,DAULE-NOBOL-SANTA LUCIA,SANTA LUCIA,DISPENSARIO CABUYAL,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.89910749100,-1.72814491657
LOS RIOS,QUINSALOMA,QUINSALOMA,VENTANAS-QUINSALOMA,QUINSALOMA,DISPENSARIO ESTERO DE PIEDRAS 2,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.37255551280,-1.25740770605
EL ORO,CHILLA,CHILLA,CHILLA-EL GUABO-PASAJE,CHILLA,DISPENSARIO CARABOTA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.60212132610,-3.33905087060
MORONA SANTIAGO,GUALAQUIZA,EL ROSARIO,GUALAQUIZA-SAN JUAN BOSCO,BERMEJOS-CHIGUINDA-EL ROSARIO,DISPENSARIO EL ROSARIO 4,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.66340178280,-3.24805820410
GUAYAS,DAULE,DAULE,DAULE-NOBOL-SANTA LUCIA,DAULE,LOS NARANJOS,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.88988544270,-1.91761593161
GUAYAS,ISIDRO AYORA,ISIDRO AYORA,PEDRO CARBO-LOMAS DE SARGENTILLO-ISIDRO AYORA,ISIDRO AYORA,PUEBLO NUEVO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.12351055490,-1.82518302962
AZUAY,CUENCA,MOLLETURO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,MOLLETURO,DISPENSARIO PUTUCAY,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.38070576310,-2.55508519611
MANABI,PUERTO LËPEZ,SALANGO,JIPIJAPA-PUERTO LOPEZ,PUERTO LOPEZ-MACHALILLA-SALANGO,AYAMPE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.81232203920,-1.67800949147
AZUAY,CUENCA,QUINGEO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,QUINGEO,DISPENSARIO MACAS,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.94749301000,-3.04004639900
AZUAY,CUENCA,QUINGEO,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,QUINGEO,QUINGEO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.93502074940,-3.03544403407
AZUAY,GUALACEO,MARIANO MORENO,GUALACEO-CHORDELEG,DANIEL CORDOVA TORAL (EL ORIENTE)-REMIGIO CRESPO TORAL (GULAG)-LUIS CORDERO VEGA-MARIANO MORENO,MARIANO MORENO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.73096032810,-2.85530031511
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CHILIBULO-SAN BORTOLO-CHIMBACALLE-LA ARGELIA-SOLANDA-LLOA-LA MENA-LA MAGDALENA-LA FERROVIARIA,CHILIBULO,UNIDAD QUIRURGICA CHIMBORAZO,SEGUNDO NIVEL,UNIDAD MOVIL QUIR┌RGICA|UMQ,MSP,-78.53941314840,-0.24448458084
AZUAY,PUCARA,PUCAR┴,GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,PUCARA,DISPENSARIO SARAYUNGA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.58345578240,-3.31439579357
AZUAY,PUCARA,PUCAR┴,GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,PUCARA,CERRO NEGRO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.55879650710,-3.22806148485
GUAYAS,NARANJAL,TAURA,BALAO-NARANJAL,TAURA,DISPENSARIO CRISTËBAL COLËN 2,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.60558145080,-2.49134344675
AZUAY,PUCARA,PUCAR┴,GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,PUCARA,CHILCAPLAYA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.57560468020,-3.31747836536
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTO DOMINGO DE LOS COLORADOS,SAN JACINTO DEL BUA-VALLE HERMOSO-PUERTO LIMON-PERIFERIA 2-ABRAHAM CALAZACON-BOMBOLI,SANTO DOMINGO DE LOS COLORADOS,CLINICA TORRE MEDICA SAN ANDRES,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.20284910540,-0.25177959885
AZUAY,PUCARA,PUCAR┴,GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,PUCARA,DISPENSARIO PUCAR┴ 3,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.47907672560,-3.20202072782
AZUAY,PUCARA,PUCAR┴,GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,PUCARA,PUCARA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47332493500,-3.21625155906
AZUAY,PUCARA,SAN RAFAEL DE SHARUG,GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,SAN RAFAEL DE SHARUG,SAN RAFAEL DE ZHARUG,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.54722620460,-3.27749814942
AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI ),DISPENSARIO SANTA ISABEL 2,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.31306708030,-3.28049183850
SANTA ELENA,SANTA ELENA,CHANDUY,SANTA ELENA,CHANDUY,DISPENSARIO SAN RAFAEL,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.65536289760,-2.35167400392
AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI ),JOSE FELIX VALDIVIESO,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-79.31504051250,-3.27840782950
AZUAY,SANTA ISABEL,SANTA ISABEL (CHAGUARURCO),GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL,ABDON CALDERON (LA UNION)-SANTA ISABEL (CHAGUARURCO)-ZHAGLLI (SHAGLLI ),DISPENSARIO SULUPALI GRANDE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.28990849510,-3.31990390751
AZUAY,CUENCA,RICAURTE,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,RICAURTE-LLACAO,RICAURTE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.96172745050,-2.85981266574
GUAYAS,SALITRE (URBINA JADO),EL SALITRE (LAS RAMAS),URBINA JADO,EL SALITRE (LAS RAMAS),POLICLINICO,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.81294570800,-1.82992441260
AZUAY,CUENCA,SAN JOAQU═N,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,SAN JOAQUIN,SAN JOAQUIN,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.04975438670,-2.89673957932
AZUAY,CUENCA,SANTA ANA,BAÐOS-CUMBE-CHAUCHA-MOLLETURO-TURI-VALLE-VICTORIA DEL PORTETE-TARQUI-QUINGEO-SANTA ANA-SAN SEBASTIAN-EL BATAN-YANUNCAY-SUCRE-HUAYNA CAPAC-MONAY,SANTA ANA,SANTA ANA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.92090960510,-2.94015074692
AZUAY,CUENCA,SAYAUS═,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,SAYAUSI,DISPENSARIO MARIANZA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.10401489110,-2.85277504318
AZUAY,CUENCA,SIDCAY,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,OCTAVIO CORDERO PALACIOS (STA. ROSA)-SIDCAY,SIDCAY,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.96421179240,-2.81729553364
AZUAY,CUENCA,SININCAY,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,SININCAY,DISPENSARIO MAYANCELA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.99915340590,-2.84500586451
AZUAY,CUENCA,SININCAY,NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAÐARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA,SININCAY,SININCAY,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.01390612990,-2.85153207020
